payment_id,loan_id,payment_date,amount_paid,principal_component,interest_component,late_payment_flag
1,21070,05/06/2020,8144.05,5930.89,2213.16,0
2,17959,09/23/2011,6128.01,4406.78,1721.23,0
3,7239,02/25/2025,27946.17,25195.76,2750.41,0
4,9993,10/04/2015,5715.37,4082.41,1632.96,0
5,5487,07/26/2017,10119.72,9474.29,645.43,0
6,12643,01/03/2013,1734.55,1271.29,463.26,0
7,2454,11/04/2012,1923.11,1628.62,294.49,0
8,13712,10/21/2025,14567.03,10914.73,3652.3,0
9,8150,11/30/2015,5035.38,4324.19,711.19,0
10,10911,12/27/2012,12662.89,9129.15,3533.74,0
11,2363,09/24/2021,13364.48,10886.86,2477.62,0
12,13645,10/01/2025,17609.92,14927.39,2682.53,1
13,19095,02/06/2019,1978.03,1567.6,410.43,0
14,17213,08/12/2015,14773.06,10858.5,3914.56,1
15,15012,04/17/2023,12550.36,10496.29,2054.07,0
16,4083,06/10/2013,27625.7,21009.08,6616.62,0
17,18796,03/15/2018,25295,18071.4,7223.6,0
18,3932,04/21/2022,6135.94,4551.42,1584.52,0
19,20398,11/29/2013,2708.45,2203.27,505.18,0
20,20350,11/24/2012,9231.62,8675.54,556.08,0
21,19884,06/26/2013,5870.45,5064.27,806.18,1
22,21828,04/08/2010,2966.24,2730.71,235.53,0
23,20333,10/06/2019,1465.37,1354.48,110.89,0
24,3677,11/24/2014,4261.75,3215.44,1046.31,0
25,16839,08/24/2021,13491.39,10176.52,3314.87,0
26,18832,03/23/2016,10466.7,9020.36,1446.34,0
27,21637,02/20/2022,5595.27,5014.99,580.28,0
28,1853,08/28/2012,6989.79,5929.89,1059.9,1
29,8372,10/12/2015,950.68,745.73,204.95,0
30,10741,04/02/2010,1088.73,906.87,181.86,0
31,624,05/10/2021,2224.68,1755.71,468.97,0
32,2555,03/18/2017,8445.58,7690.47,755.11,0
33,10792,08/10/2024,10819.6,10291.17,528.43,0
34,6056,12/25/2011,22705.63,17529.9,5175.73,0
35,17231,11/23/2010,945.13,791.24,153.89,0
36,8610,10/13/2012,4094.54,2925.03,1169.51,0
37,1732,04/08/2017,2113.91,1950.36,163.55,1
38,9420,03/28/2022,15554.07,13544.49,2009.58,0
39,10407,01/08/2023,9165.63,7739.68,1425.95,0
40,15620,05/10/2012,1036.81,785.28,251.53,0
41,18098,02/11/2019,6214.35,4500.31,1714.04,0
42,18442,11/21/2024,5038.54,4342.45,696.09,0
43,20284,12/02/2017,4207.75,3221.44,986.31,0
44,21134,07/26/2015,5729.28,4700.57,1028.71,0
45,19106,04/01/2011,9717.05,7347.18,2369.87,0
46,5435,06/01/2024,25095.44,20627.44,4468,0
47,13821,10/12/2020,7190.12,5520.26,1669.86,0
48,2831,07/26/2010,2062.3,1824.75,237.55,0
49,13516,11/09/2023,14582.57,12817.71,1764.86,0
50,5851,03/14/2025,12283.11,10489.65,1793.46,0
51,6917,01/14/2025,1144.65,965.59,179.06,0
52,6498,10/25/2011,10355.21,8565.77,1789.44,0
53,3691,02/21/2012,23798.05,18859.4,4938.65,0
54,15760,02/02/2011,3950.52,3445.98,504.54,0
55,6845,11/10/2014,5031.9,3675.19,1356.71,1
56,880,09/23/2022,8019.62,6527.95,1491.67,0
57,11771,05/23/2023,27592.08,23666.65,3925.43,0
58,5015,01/20/2015,12378.29,9928.04,2450.25,0
59,18190,08/24/2011,6655.13,4817.53,1837.6,0
60,3479,07/20/2020,1614.63,1300.73,313.9,0
61,4954,11/04/2010,2066.97,1645.29,421.68,0
62,4532,09/13/2016,1452.06,1330.92,121.14,0
63,15635,04/16/2015,12431,10044.78,2386.22,0
64,11720,05/01/2010,25794.21,19246.49,6547.72,0
65,20958,08/03/2022,4510.14,3364.81,1145.33,0
66,6676,08/02/2018,8612.25,7786.56,825.69,0
67,11622,07/31/2011,11103.21,10554.35,548.86,0
68,17261,06/03/2012,26025.43,22677.61,3347.82,0
69,2649,09/25/2017,7694.82,6403.71,1291.11,1
70,6588,03/10/2023,10298.05,8960.8,1337.25,0
71,13626,06/24/2015,1752.26,1270.53,481.73,0
72,2358,04/22/2016,8372.29,7451.36,920.93,0
73,17796,12/08/2015,4844.29,3935.48,908.81,0
74,17025,03/17/2018,11023.91,10336.02,687.89,0
75,14382,02/05/2010,2866.71,2205.43,661.28,0
76,15019,09/27/2021,927.38,755.13,172.25,0
77,1062,07/14/2014,3199.14,2665.01,534.13,1
78,6356,03/20/2018,2286.34,2016.66,269.68,0
79,14817,08/03/2025,6114.06,4840.39,1273.67,1
80,32,09/20/2025,1630.76,1456.08,174.68,0
81,10002,04/19/2018,16906.32,15631.39,1274.93,0
82,10057,08/26/2022,2449.82,2214.6,235.22,0
83,12838,10/24/2013,11185.12,9513.9,1671.22,0
84,14816,01/29/2024,5458.57,4569.33,889.24,0
85,10864,10/08/2022,596.6,522.36,74.24,1
86,15244,02/28/2024,2698.83,1995.62,703.21,0
87,2874,11/10/2021,2551.85,2328.02,223.83,0
88,8442,02/26/2019,18365.89,15411.37,2954.52,0
89,20943,05/22/2026,21987.7,16522.63,5465.07,0
90,8473,09/17/2019,31094.24,22776.26,8317.98,0
91,8227,04/18/2012,7630.04,5535.55,2094.49,1
92,2293,07/29/2025,4246.82,3354.71,892.11,0
93,8732,11/25/2022,8037.36,6801.51,1235.85,0
94,14314,10/29/2015,22685.46,19639.42,3046.04,1
95,21131,10/29/2017,3535.22,3206.73,328.49,0
96,18696,02/25/2011,1300.02,938.18,361.84,0
97,21231,07/23/2025,23843.21,18569.74,5273.47,0
98,3054,12/03/2016,9372.09,7497.75,1874.34,1
99,18333,04/23/2017,23860.88,19924.25,3936.63,0
100,14494,01/18/2021,3241.58,2426.18,815.4,0
101,211,03/28/2026,3545.21,3103.76,441.45,0
102,12981,10/08/2025,17449.78,14910.59,2539.19,0
103,447,12/28/2025,3180.34,2306.82,873.52,0
104,13417,06/03/2025,15418.86,11046.44,4372.42,1
105,21395,06/30/2019,11319.03,10772.2,546.83,0
106,13470,09/10/2012,8156.59,6905.65,1250.94,0
107,19311,08/26/2010,20264.59,16419.61,3844.98,0
108,6433,05/20/2024,1419.18,1078.59,340.59,0
109,3735,08/23/2013,24999.55,20869,4130.55,0
110,14287,12/27/2020,4871.64,3519.39,1352.25,0
111,6870,07/17/2018,13695.18,12505.78,1189.4,1
112,5026,11/27/2014,21126.55,19338.06,1788.49,0
113,18034,03/20/2026,9443.12,8570.19,872.93,0
114,424,11/02/2014,1697.84,1423.44,274.4,0
115,21358,10/25/2025,9642.92,7147.77,2495.15,0
116,10292,02/18/2011,3309.52,2979.58,329.94,0
117,10721,03/21/2013,8577.4,6648.31,1929.09,0
118,1496,03/12/2024,6899.79,5468.72,1431.07,0
119,13928,06/15/2019,25030.98,18815.39,6215.59,0
120,12574,12/17/2025,8174.25,7078.3,1095.95,0
121,18698,11/05/2017,2835.15,2397.95,437.2,0
122,3366,03/06/2019,5267.64,4327.61,940.03,0
123,7341,07/05/2023,9945.51,7729.07,2216.44,0
124,17714,09/03/2022,11691.36,8447.86,3243.5,0
125,2847,06/27/2019,3286.86,2362.79,924.07,0
126,3202,11/06/2015,19649.48,15683.37,3966.11,0
127,3904,04/03/2013,1947.46,1427.81,519.65,0
128,16976,06/19/2012,2609.48,2401.11,208.37,0
129,1532,02/01/2010,2098.11,1859.83,238.28,1
130,4253,06/26/2021,6284.18,5277.7,1006.48,0
131,2017,01/06/2025,7938.53,5761.44,2177.09,0
132,3881,06/08/2013,9574.32,7231.83,2342.49,0
133,12336,12/22/2021,9436.22,7729.61,1706.61,0
134,319,01/04/2022,5653.63,5138.88,514.75,0
